date,t_mean,t_max,t_min,rh_mean,app_t_mean,app_t_max,hours_above_32,city
2015-01-01,25.0875,28.7,22.0,86.95833333333333,29.48333333333333,34.1,0,chennai
2015-01-01,23.441666666666663,27.5,21.2,81.33333333333333,25.9875,29.7,0,coimbatore
2015-01-01,25.075,29.1,22.2,82.91666666666667,29.141666666666666,33.1,0,madurai
2015-01-01,24.241666666666664,27.7,22.0,85.66666666666667,28.2875,32.6,0,salem
2015-01-01,25.254166666666663,28.8,22.8,87.125,30.05,34.8,0,trichy
2015-01-02,25.570833333333336,28.6,23.3,87.04166666666667,29.691666666666663,34.0,0,chennai
2015-01-02,22.791666666666668,28.3,18.2,71.91666666666667,24.59166666666667,30.3,0,coimbatore
2015-01-02,25.016666666666666,29.5,21.7,82.70833333333333,29.15416666666667,34.6,0,madurai
2015-01-02,24.541666666666668,27.9,22.0,81.29166666666667,28.2375,30.8,0,salem
2015-01-02,25.366666666666664,30.0,21.8,83.41666666666667,29.5375,34.3,0,trichy
2015-01-03,25.27083333333333,28.4,23.3,90.08333333333331,29.933333333333337,33.8,0,chennai
2015-01-03,22.9125,27.8,18.8,72.0,24.9875,30.1,0,coimbatore
2015-01-03,24.454166666666666,29.2,19.7,79.79166666666667,28.316666666666663,34.3,0,madurai
2015-01-03,24.34583333333333,28.1,20.9,75.91666666666667,27.60833333333333,31.6,0,salem
2015-01-03,24.954166666666666,29.7,21.5,81.625,29.025,33.7,0,trichy
2015-01-04,25.245833333333337,28.3,23.0,85.625,29.475,33.5,0,chennai
2015-01-04,22.59166666666667,27.7,18.4,76.04166666666667,24.679166666666664,30.1,0,coimbatore
2015-01-04,24.675,29.1,19.9,79.58333333333333,28.504166666666663,33.1,0,madurai
2015-01-04,24.695833333333336,28.8,21.3,75.29166666666667,27.829166666666666,31.6,0,salem
2015-01-04,25.35,29.3,22.3,83.0,29.45,33.3,0,trichy
2015-01-05,24.791666666666668,28.4,21.6,83.29166666666667,28.17083333333333,31.9,0,chennai
2015-01-05,22.70833333333333,27.7,18.8,73.70833333333333,24.554166666666664,29.7,0,coimbatore
